facility_name,state,industry_sector,total_ghg_emissions_tonnes,latitude,longitude,reporting_year
"ARKEMA, INC.",KY,"Chemicals,Industrial Gas Suppliers",354507.8055,37.056699,-88.365727,2021
ARLANXEO Orange Site,TX,Other,184580.304,30.049622,-93.772226,2021
ARMSTRONG CEMENT & SUPPLY,PA,Minerals,191012.52,40.7948,-79.70017,2021
ARMSTRONG WORLD IND MARIETTA CEILING PLT,PA,Other,69725.736,40.0586,-76.58845,2021
ARMSTRONG WORLD INDUSTRIES INC.,FL,Other,25649.204,30.408671,-87.250165,2021
ASARCO LLC AMARILLO COPPER REFINERY,TX,Metals,17255.536,35.284716,-101.730177,2021
ASARCO LLC Hayden Operations,AZ,Metals,490.848,33.003378,-110.77632,2021
ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU FACILITY,TX,Chemicals,593858.664,29.2567,-95.2144,2021
ASCEND PERFORMANCE MATERIALS OPERATIONS LLC,SC,Other,49097.164,34.2306,-82.05776,2021
ASH GROVE CEMENT CO-CHANUTE PLANT,KS,Minerals,1325735.204,37.698786,-95.459748,2021
ASH GROVE CEMENT COMPANY,TX,Minerals,698098.408,32.51993,-97.0068,2021
ASH GROVE CEMENT COMPANY-DURKEE,OR,Minerals,690675.07,44.542325,-117.42053,2021
ASH GROVE CEMENT COMPANY-Louisville,NE,Minerals,712440.52,41.005565,-96.154917,2021
ASH GROVE CEMENT COMPANY-MONTANA CITY,MT,Minerals,316495.088,46.54448,-111.92062,2021
ASH GROVE CEMENT COMPANY-SEATTLE,WA,Minerals,359053.99,47.56799,-122.34255,2021
ASH GROVE CEMENT-FOREMAN,AR,Minerals,887250.228,33.6936,-94.4166,2021
ASHLEY Energy LLC,MO,Power Plants,45150.78,38.63639,-90.18108,2021
ASTORIA ENERGY LLC & ASTORIA ENERGY II LLC,NY,Power Plants,2336285.338,40.7825,-73.8964,2021
ATASCOCITA RECYCLING AND DISPOSAL FACILITY,TX,Waste,288162.5,29.95135,-95.24966,2021
ATHENS & CLARKE COUNTIES-DUNLAP ROAD LF,GA,Waste,62365.0,33.9257,-83.2634,2021
ATI LADISH LLC,WI,Other,44801.932,42.947167,-87.8615,2021
"ATI Specialty Materials, Monroe Plant",NC,Metals,49705.302,34.98548,-80.517139,2021
"ATLANTIC ALUMINA, GRAMERCY OPERATIONS",LA,Metals,801660.976,30.066583,-90.701823,2021
